date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:01	2774/2774	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664c5f49-ad6%22	https://static.tildacdn.net/js/tilda-text-clamp.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-text-clamp.min.js	(from https://www.azstudio.agency/)
10:52:01	72685/72685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668e9632-11bed%22	https://static.tildacdn.net/js/tilda-feed-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-feed-1.0.min.js	(from https://www.azstudio.agency/)
10:52:01	2615/2615	---MCZ	200	added ('OK')	application/javascript	etag:W/%22660fcb60-a37%22	https://static.tildacdn.net/js/tilda-popup-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-popup-1.0.min.js	(from https://www.azstudio.agency/)
10:52:01	58560/58560	---MCZ	200	added ('OK')	application/javascript	etag:W/%226687cc1e-e4c0%22	https://static.tildacdn.net/js/tilda-forms-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-forms-1.0.min.js	(from https://www.azstudio.agency/)
10:52:02	21012/21012	---MCZ	200	added ('OK')	application/javascript	etag:W/%226639f493-5214%22	https://static.tildacdn.net/js/tilda-menusub-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-menusub-1.0.min.js	(from https://www.azstudio.agency/)
10:52:02	11022/11022	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265e19bd1-2b0e%22	https://static.tildacdn.net/js/tilda-menu-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-menu-1.0.min.js	(from https://www.azstudio.agency/)
10:52:02	157415/157415	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668e81a5-266e7%22	https://static.tildacdn.net/js/tilda-catalog-1.1.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-catalog-1.1.min.js	(from https://www.azstudio.agency/)
10:52:03	55574/55574	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664f3ae7-d916%22	https://static.tildacdn.net/js/tilda-zero-forms-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-zero-forms-1.0.min.js	(from https://www.azstudio.agency/)
10:52:03	37612/37612	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668ba022-92ec%22	https://static.tildacdn.net/js/tilda-animation-sbs-1.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-animation-sbs-1.0.min.js	(from https://www.azstudio.agency/)
10:52:03	29166/29166	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265673871-71ee%22	https://static.tildacdn.net/js/tilda-zoom-2.0.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-zoom-2.0.min.js	(from https://www.azstudio.agency/)
